,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
37,0.0036623895,1.3234976e-09,1.13578466e-10,4.5529986e-11,-1.5291733,34.405178,1.2496673e-06,0.25173157,2.0955236,4.101499e-10,176.23746,103.99735,1.9423883e-06
38,0.046978977,1.4955596e-09,1.12899336e-10,4.8653897e-11,-1.1828942,34.555714,1.3843699e-06,0.23833083,2.2239773,4.5125548e-10,193.98738,103.99735,7.0863706e-07
39,0.108847976,2.4480329e-09,1.2976296e-10,6.353707e-11,-0.9058599,34.63889,1.5812901e-06,0.28047517,2.1613626,5.0799503e-10,98.512535,103.99735,3.1753785e-07
40,0.10578228,2.4114226e-09,1.308741e-10,6.1097453e-11,-0.69908494,34.694645,1.7215693e-06,0.27271482,2.1592152,5.4411453e-10,111.21325,103.99735,5.9162244e-07
41,0.09483853,2.1117834e-09,1.2812466e-10,5.845731e-11,-0.5058927,34.71258,1.7738871e-06,0.26539236,2.1081905,5.5609956e-10,149.8548,103.99735,3.3188758e-07
42,0.07867652,2.05639e-09,9.884252e-11,4.7852864e-11,-0.42208278,34.741043,1.7672907e-06,0.1588723,2.2103188,5.5116284e-10,525.7118,103.99735,-2.4022825e-07
43,0.008556113,3.9172923e-09,1.3709775e-10,5.828761e-11,-0.39350712,34.72061,1.7951845e-06,0.27920657,2.044926,5.6057226e-10,213.71455,103.99735,2.5171403e-08
44,0.1034723,2.806632e-09,1.3007832e-10,6.046824e-11,-0.7626977,34.718224,1.794788e-06,0.2715123,2.1460345,5.5859484e-10,114.66248,103.99735,-1.3783472e-06
45,0.11167454,2.5994389e-09,1.298881e-10,6.188727e-11,-0.94010794,34.703583,1.7669623e-06,0.27739948,2.190569,5.505992e-10,104.40261,103.99735,-1.0840062e-06
46,0.0043180846,8.3145535e-10,1.0162737e-10,3.598172e-11,-0.97413397,34.69182,1.6657993e-06,0.2176787,2.1065686,5.1893845e-10,506.57007,103.99735,-8.6913235e-07
47,0.11330317,2.5217188e-09,1.2892327e-10,6.314337e-11,-1.0628703,34.669415,1.6870863e-06,0.2826642,2.1781545,5.2906e-10,97.779915,103.99735,-7.1741584e-07
48,0.11573965,2.562887e-09,1.2946334e-10,6.372266e-11,-1.0709615,34.65918,1.6818208e-06,0.28649944,2.168166,5.292743e-10,95.64122,103.99735,-6.6318586e-07
49,0.11533249,2.522843e-09,1.2958057e-10,6.3809846e-11,-1.0555112,34.652622,1.6693472e-06,0.28625935,2.1666298,5.263213e-10,95.59282,103.99735,-4.6173403e-07
50,3.146074e-05,8.2261886e-10,1.02717876e-10,3.4404098e-11,-0.87417895,34.67036,1.6175272e-06,0.21262641,1.884608,5.0876264e-10,500.9837,103.99735,-2.0258562e-07
51,3.9811155e-08,4.8106974e-10,9.5901107e-11,3.0435418e-11,-0.65621626,34.68586,1.6208593e-06,0.19422606,2.1545234,5.085707e-10,588.1417,103.99735,-3.5018957e-09
52,2.4960562e-07,5.065528e-10,9.666774e-11,2.9850875e-11,-0.45498702,34.698883,1.6329951e-06,0.19374166,1.9393736,5.0987287e-10,598.42065,103.99735,2.0483071e-07
53,6.6690027e-06,7.0267886e-10,1.0406031e-10,3.0980805e-11,-0.2729828,34.712635,1.6519043e-06,0.20198137,1.8263644,5.148479e-10,548.7814,103.99735,3.7145355e-07
54,7.1880415e-08,3.7500106e-10,9.173322e-11,2.7961676e-11,-0.41711017,34.716675,1.6531469e-06,0.1827351,1.7782583,5.1125715e-10,658.5051,103.99735,-7.0573213e-07
55,2.415814e-06,6.3320305e-10,9.788499e-11,3.082498e-11,-0.83183455,34.706367,1.6590129e-06,0.19898802,1.9930784,5.118122e-10,581.49884,103.99735,-1.3020403e-06
56,4.037485e-06,1.539577e-09,1.103464e-10,4.847245e-11,-1.1900245,34.679005,1.6541306e-06,0.25138426,2.0488446,5.0898497e-10,381.89246,103.99735,-9.032358e-07
57,1.526644e-07,6.315082e-10,9.260323e-11,3.3682796e-11,-1.430586,34.664433,1.6020789e-06,0.21812135,2.0936806,4.884314e-10,461.0031,103.99735,-3.6535425e-07
58,4.652463e-08,7.6092027e-10,9.836484e-11,3.6051988e-11,-1.6305754,34.64176,1.5826629e-06,0.23347056,2.2532272,4.8090376e-10,378.6966,103.99735,-5.303368e-07
59,2.3106242e-08,4.768279e-10,9.046753e-11,3.2673347e-11,-1.756289,34.628063,1.5599113e-06,0.2190319,1.949149,4.726094e-10,381.61832,103.99735,-2.0903036e-07
60,1.8145352e-08,4.1739423e-10,8.9234724e-11,3.1337457e-11,-1.805729,34.635925,1.5640868e-06,0.2167495,1.9909399,4.7441717e-10,388.0459,103.99735,-1.3854435e-07
61,4.2048473e-08,7.2857015e-10,9.463028e-11,3.307295e-11,-1.8259217,34.641933,1.614991e-06,0.22233662,2.0292232,4.945608e-10,358.57474,103.99735,-3.9304751e-07
62,3.402631e-08,6.5647976e-10,9.6455004e-11,3.2780785e-11,-1.8331699,34.639305,1.5837162e-06,0.22051036,1.9444735,4.8995985e-10,322.03754,103.99735,-5.027725e-07
63,1.7900979e-07,1.360319e-09,1.063707e-10,3.92137e-11,-1.8119292,34.61993,1.5869956e-06,0.23907697,2.2130747,4.992254e-10,252.6552,103.99735,-5.2034727e-07
64,1.881842e-07,1.3263712e-09,1.0771445e-10,3.8623108e-11,-1.8102306,34.60094,1.555569e-06,0.24206997,2.1071827,4.9298177e-10,247.08266,103.99735,-8.2437305e-07
65,0.00045187902,1.4971181e-09,1.13576044e-10,3.9844662e-11,-1.8426337,34.54394,1.4744099e-06,0.2558497,2.0474555,4.6977133e-10,210.83958,103.99735,-8.0206974e-07
66,0.02397209,1.4729084e-09,1.12732476e-10,4.3469946e-11,-1.8550968,34.4645,1.4275803e-06,0.25863305,2.0048285,4.5605705e-10,174.5208,103.99735,1.7289176e-07
67,0.027082343,1.5064223e-09,1.1339227e-10,4.3878925e-11,-1.8056021,34.491383,1.4767821e-06,0.26206648,1.987152,4.699563e-10,177.07416,103.99735,1.1071845e-06
68,2.2235682e-08,4.7320164e-10,9.001214e-11,2.9740575e-11,-1.6013341,34.678055,1.6507718e-06,0.20996371,1.8989098,5.214068e-10,462.50604,103.99735,-4.0605482e-07
69,4.2234223e-07,1.03866e-09,9.8101284e-11,3.8726536e-11,-1.5281603,34.678574,1.6841432e-06,0.23130281,2.104259,5.34081e-10,442.1054,103.99735,-1.0430952e-06
70,0.00013690606,9.997804e-10,1.0577352e-10,3.6463693e-11,-1.1903086,34.63579,1.5249863e-06,0.22821425,1.9179398,4.924035e-10,316.03992,103.99735,-1.4314901e-06
72,0.16173694,1.6009421e-08,2.5066776e-10,1.046368e-10,2.9071774,34.623264,1.3473859e-06,0.2860868,2.2324955,4.6667975e-10,186.35316,128.07674,-5.016658e-07
73,0.15841435,1.5640964e-08,2.5161828e-10,1.0574946e-10,3.0085955,34.61763,1.2843385e-06,0.28768346,2.237142,4.4894602e-10,184.11758,128.07674,-2.9277815e-06
74,0.14994532,1.7810567e-08,2.7609573e-10,1.0535541e-10,3.6661563,34.65783,1.2968745e-06,0.27522194,2.0456533,4.5858006e-10,206.40247,128.07674,-8.1096186e-07
75,0.14880538,2.0506e-08,3.0703567e-10,1.0969127e-10,4.2744875,34.684883,1.2907408e-06,0.26875985,2.0069191,4.6210474e-10,212.99843,128.07674,-6.535927e-07
76,0.13721389,1.9462021e-08,3.3478353e-10,1.1023764e-10,5.004875,34.714714,1.2714983e-06,0.25892904,1.9500519,4.6405377e-10,236.64621,128.07674,-2.5728036e-07
77,0.11512671,1.33200295e-08,3.4527736e-10,1.0042511e-10,5.6109953,34.745724,1.2590524e-06,0.23876002,1.7957203,4.679397e-10,270.2042,128.07674,1.0861936e-07
78,0.108147986,1.4423839e-08,3.8815318e-10,9.100517e-11,5.4121723,34.75349,1.2707721e-06,0.2528337,1.9855824,4.695483e-10,294.12454,128.07674,-1.06539915e-07
79,0.10383168,1.30676145e-08,3.5847633e-10,8.7434275e-11,5.1660886,34.755207,1.3052123e-06,0.24884036,1.8081725,4.7703197e-10,323.30737,128.07674,-2.4934775e-07
80,0.122227915,1.3512334e-08,3.2488146e-10,9.543489e-11,4.5209503,34.746445,1.3462933e-06,0.25333637,1.9866719,4.807643e-10,289.09592,128.07674,-2.4953448e-07
81,0.12739627,1.38794904e-08,3.1370018e-10,9.587374e-11,4.1823254,34.738438,1.357056e-06,0.26210356,2.121646,4.792175e-10,275.2285,128.07674,3.606931e-08
82,0.129778,1.417714e-08,3.0519412e-10,9.593267e-11,3.9466794,34.730324,1.3489978e-06,0.26657262,2.1589596,4.7307624e-10,265.18118,128.07674,-9.215148e-08
83,0.12915747,1.36749705e-08,2.9757427e-10,9.46933e-11,3.831254,34.726913,1.3520563e-06,0.26706627,2.1590798,4.723517e-10,265.3106,128.07674,-4.8743644e-08
84,0.12795714,1.3034181e-08,2.9163438e-10,9.3398414e-11,3.7482657,34.725815,1.3586238e-06,0.26715142,2.1544263,4.7316406e-10,266.35825,128.07674,-1.3641943e-07
85,0.12880208,1.33091e-08,2.9391156e-10,9.378034e-11,3.777508,34.725372,1.3636161e-06,0.26740277,2.1587722,4.7436655e-10,265.8578,128.07674,-1.7083431e-07
86,0.12809712,1.3853445e-08,3.0739536e-10,9.574436e-11,4.048326,34.72965,1.3442911e-06,0.26474348,2.1441977,4.7019133e-10,267.2605,128.07674,-1.6299128e-07
87,0.1255305,1.4392087e-08,3.2993325e-10,9.828303e-11,4.5076985,34.740444,1.3219786e-06,0.25882766,2.103775,4.677849e-10,276.53632,128.07674,-1.415724e-07
88,0.11709622,1.5425188e-08,3.684709e-10,9.750253e-11,5.0860386,34.755745,1.288885e-06,0.26009372,2.0797148,4.6444262e-10,297.65823,128.07674,-6.389564e-08
89,0.09783986,1.5092327e-08,3.9414363e-10,8.8218766e-11,5.721591,34.77798,1.2524803e-06,0.23698288,1.9065858,4.63077e-10,343.45996,128.07674,-3.1034938e-07
90,0.081364565,9.138509e-09,3.8446843e-10,8.168054e-11,5.783682,34.7863,1.2113247e-06,0.2292865,1.79886,4.531583e-10,382.12796,128.07674,-1.0280121e-06
91,0.1232838,1.4268189e-08,3.4712752e-10,1.0096034e-10,4.7302074,34.763012,1.2247767e-06,0.25351015,2.1562827,4.443631e-10,268.35663,128.07674,-2.7093206e-06
92,0.11360331,9.685897e-09,2.8470987e-10,9.250804e-11,3.9605477,34.75006,1.2562622e-06,0.24864006,2.045478,4.450425e-10,298.54602,128.07674,2.0853508e-10
93,0.10268469,6.8818857e-09,2.2996266e-10,8.083583e-11,2.8994575,34.734856,1.320161e-06,0.24848013,2.2820766,4.529236e-10,320.67194,128.07674,1.5549071e-07
94,0.09981472,5.5467186e-09,2.0038107e-10,7.456217e-11,1.8756155,34.714317,1.3756129e-06,0.2562576,2.3028882,4.5887183e-10,312.61404,128.07674,1.167997e-07
95,0.11132037,5.26699e-09,1.8362258e-10,7.461637e-11,1.0591549,34.69364,1.4217966e-06,0.27060536,2.2907083,4.644778e-10,276.97632,128.07674,5.2288954e-08
96,0.1261963,5.511805e-09,1.7554486e-10,7.569112e-11,0.43190533,34.673447,1.461558e-06,0.2910631,2.263177,4.709811e-10,236.6587,128.07674,-2.4386395e-08
97,0.15915696,5.5477924e-09,1.5558131e-10,9.104562e-11,-0.03995655,34.643913,1.4816927e-06,0.30693826,2.36499,4.7498716e-10,171.79518,128.07674,1.5776891e-08
98,0.1644634,5.975797e-09,1.5522375e-10,9.25323e-11,-0.10056578,34.62156,1.4710806e-06,0.313308,2.3172283,4.756604e-10,158.65225,128.07674,-2.1933045e-07
99,0.15176778,4.119347e-09,1.5504362e-10,8.689079e-11,0.030430228,34.63274,1.4773108e-06,0.30738086,2.2668908,4.820752e-10,181.39566,128.07674,-1.6288425e-07
